Company,Symbol,Weight,Security,SEC_filings,GICS,GICS_Sub_Industry,Headquarters_Location,Date_First_Added,CIK,Founded
Garmin Ltd.,GRMN,0.050252,Garmin,reports,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012-12-12,1121788,1989
Goldman Sachs Group Inc.,GS,0.326144,Goldman Sachs,reports,Financials,Investment Banking & Brokerage,"New York City, New York",2002-07-22,886982,1869
W.W. Grainger Inc.,GWW,0.055258,W. W. Grainger,reports,Industrials,Industrial Machinery,"Lake Forest, Illinois",1981-06-30,277135,1927
Halliburton Company,HAL,0.050091,Halliburton,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1957-03-04,45012,1919
Hasbro Inc.,HAS,0.031872,Hasbro,reports,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",1984-09-30,46080,1923
Huntington Bancshares Incorporated,HBAN,0.055401,Huntington Bancshares,reports,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",,49196,1866
HCA Healthcare Inc,HCA,0.152062,HCA Healthcare,reports,Health Care,Health Care Facilities,"Nashville, Tennessee",2015-01-27,860730,1968
Home Depot Inc.,HD,1.062466,Home Depot,reports,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",1988-03-31,354950,1978
Hess Corporation,HES,0.050576,Hess Corporation,reports,Energy,Integrated Oil & Gas,"New York City, New York",1984-05-31,4447,1919
Hartford Financial Services Group Inc.,HIG,0.059212,The Hartford,reports,Financials,Property & Casualty Insurance,"Hartford, Connecticut",1957-03-04,874766,1810
Huntington Ingalls Industries Inc.,HII,0.018609,Huntington Ingalls Industries,reports,Industrials,Aerospace & Defense,"Newport News, Virginia",2018-01-03,1501585,2011
Hilton Worldwide Holdings Inc,HLT,0.100968,Hilton Worldwide,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",2017-06-19,1585689,1919
Hologic Inc.,HOLX,0.050665,Hologic,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts",2016-03-30,859737,1985
Honeywell International Inc.,HON,0.35575,Honeywell,reports,Industrials,Industrial Conglomerates,"Charlotte, North Carolina",1964-03-31,773840,1906
Hewlett Packard Enterprise Co.,HPE,0.050068,Hewlett Packard Enterprise,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",2015-11-02,1645590,2015
HP Inc.,HPQ,0.107638,HP,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",1974-12-31,47217,1939 (2015)
Hormel Foods Corporation,HRL,0.035396,Hormel,reports,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",2009-03-04,48465,1891
Henry Schein Inc.,HSIC,0.026277,Henry Schein,reports,Health Care,Health Care Distributors,"Melville, New York",2015-03-17,1000228,1932
Host Hotels & Resorts Inc.,HST,0.028413,Host Hotels & Resorts,reports,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",2007-03-20,1070750,1993
Hershey Company,HSY,0.070477,The Hershey Company,reports,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",1957-03-04,47111,1894
Humana Inc.,HUM,0.149583,Humana,reports,Health Care,Managed Health Care,"Louisville, Kentucky",,49071,1961
Howmet Aerospace Inc.,HWM,0.029154,Howmet Aerospace,reports,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",1964-03-31,4281,2016
International Business Machines Corporation,IBM,0.29394,IBM,reports,Information Technology,IT Consulting & Other Services,"Armonk, New York",1957-03-04,51143,1911
